query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
BEGIN,supabase_storage_admin,207,0.00291961835748792,0.000367,0.391621,0.604361,0,0,0.061270779513891066,null
"SELECT
          set_config('role', $1, true),
          set_config('request.jwt.claim.role', $2, true),
          set_config('request.jwt', $3, true),
          set_config('request.jwt.claim.sub', $4, true),
          set_config('request.jwt.claims', $5, true),
          set_config('request.headers', $6, true),
          set_config('request.method', $7, true),
          set_config('request.path', $8, true),
          set_config('storage.operation', $9, true),
          set_config('storage.allow_delete_query', 'true', true),
          set_config('statement_timeout', $10, true),
          set_config('search_path', $11, true)",service_role,201,0.0493507910447761,0.017026,4.161166,9.919509,201,100.0000000000000000,1.0056506770374958,null
COMMIT,service_role,199,0.000766366834170854,0.000351,0.001651,0.152507,0,0,0.01546132654377927,null
SELECT * FROM pgbouncer.get_auth($1),pgbouncer,86,0.410270337209303,0.048644,19.043181,35.283249,86,99.8381877022653722,3.5770543930080154,null
SELECT EXISTS (SELECT schema_migrations.* FROM schema_migrations AS schema_migrations WHERE version = $1),supabase_auth_admin,70,0.0202599714285714,0.00809,0.044573,1.418198,70,100.0000000000000000,0.14377846513100825,null
SHOW transaction_read_only,supabase_admin,64,0.088209140625,0.006223,0.83686,5.645385,0,0,0.5723353088733851,null
"SELECT ""id"", ""version"", ""metadata""
            FROM storage.objects
            WHERE name = $1
              AND bucket_id = $2
            LIMIT $3",service_role,52,0.02319225,0.017201,0.043873,1.205997,52,100.0000000000000000,0.12226529554589738,null
"SELECT ""id"", ""public""
            FROM storage.buckets
            WHERE id = $1
            LIMIT $2",service_role,48,0.0665281458333333,0.014369,2.356268,3.193351,48,100.0000000000000000,0.3237454187670341,null
"SELECT ""id"", ""name"", ""version"", ""bucket_id"", ""metadata"", ""user_metadata"", ""updated_at"", ""created_at""
            FROM storage.objects
            WHERE name = $1
              AND bucket_id = $2
            LIMIT $3",service_role,48,0.2414959375,0.021896,3.743317,11.591805,48,92.3611111111111111,1.17518987546023,null
"SELECT ""id"", ""public""
            FROM storage.buckets
            WHERE id = $1 AND public = $2
            LIMIT $3",service_role,48,0.015775875,0.009066,0.028591,0.757242,48,100.0000000000000000,0.07677002258692717,null
